Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0805_HandSoldering",199.366100,-3.750000,0.000000,bottom
"C2","22p","C_0805_HandSoldering",199.366100,-12.500000,0.000000,bottom
"C3","0.1u","C_0805_HandSoldering",199.366100,-1.190600,0.000000,bottom
"C4","0.1u","C_0805_HandSoldering",190.750000,-18.394900,270.000000,bottom
"C5","0.1u","C_0805_HandSoldering",177.935300,-12.400000,180.000000,bottom
"C6","0.1u","C_0805_HandSoldering",177.935300,-4.000000,180.000000,bottom
"C7","4.7u","C_0805_HandSoldering",177.950000,0.400000,180.000000,bottom
"C8","1u","C_0805_HandSoldering",187.519500,2.381200,90.000000,bottom
"D1","D","D_SOD123_handD",-102.393750,23.812500,0.000000,bottom
"D2","D","D_SOD123_handD",-83.343750,23.812500,0.000000,bottom
"D3","D","D_SOD123_handD",-64.293750,23.812500,0.000000,bottom
"D4","D","D_SOD123_handD",-45.243750,23.812500,0.000000,bottom
"D5","D","D_SOD123_handD",-26.193750,23.812500,0.000000,bottom
"D6","D","D_SOD123_handD",-7.143750,23.812500,0.000000,bottom
"D7","D","D_SOD123_handD",11.906250,23.812500,0.000000,bottom
"D8","D","D_SOD123_handD",30.956250,23.812500,0.000000,bottom
"D9","D","D_SOD123_handD",50.006250,23.812500,0.000000,bottom
"D10","D","D_SOD123_handD",69.056250,23.812500,0.000000,bottom
"D11","D","D_SOD123_handD",88.106250,23.812500,0.000000,bottom
"D12","D","D_SOD123_handD",107.156250,23.812500,0.000000,bottom
"D13","D","D_SOD123_handD",126.206250,23.812500,0.000000,bottom
"D14","D","D_SOD123_handD",154.781250,23.812500,0.000000,bottom
"D15","D","D_SOD123_handD",-97.631250,4.762500,0.000000,bottom
"D16","D","D_SOD123_handD",-73.818750,4.762500,0.000000,bottom
"D17","D","D_SOD123_handD",-54.768750,4.762500,0.000000,bottom
"D18","D","D_SOD123_handD",-35.718750,4.762500,0.000000,bottom
"D19","D","D_SOD123_handD",-16.668750,4.762500,0.000000,bottom
"D20","D","D_SOD123_handD",2.381250,4.762500,0.000000,bottom
"D21","D","D_SOD123_handD",21.431250,4.762500,0.000000,bottom
"D22","D","D_SOD123_handD",40.481250,4.762500,0.000000,bottom
"D23","D","D_SOD123_handD",59.531250,4.762500,0.000000,bottom
"D24","D","D_SOD123_handD",78.581250,4.762500,0.000000,bottom
"D25","D","D_SOD123_handD",97.631250,4.762500,0.000000,bottom
"D26","D","D_SOD123_handD",116.681250,4.762500,0.000000,bottom
"D27","D","D_SOD123_handD",131.179576,4.762496,0.000000,bottom
"D28","D","D_SOD123_handD",129.182704,-14.287488,0.000000,bottom
"D29","D","D_SOD123_handD",-95.250000,-14.287500,0.000000,bottom
"D30","D","D_SOD123_handD",-69.056250,-14.287500,0.000000,bottom
"D31","D","D_SOD123_handD",-50.006250,-14.287500,0.000000,bottom
"D32","D","D_SOD123_handD",-30.956250,-14.287500,0.000000,bottom
"D33","D","D_SOD123_handD",-11.906250,-14.287500,0.000000,bottom
"D34","D","D_SOD123_handD",7.143750,-14.287500,0.000000,bottom
"D35","D","D_SOD123_handD",26.193750,-14.287500,0.000000,bottom
"D36","D","D_SOD123_handD",45.243750,-14.287500,0.000000,bottom
"D37","D","D_SOD123_handD",64.293750,-14.287500,0.000000,bottom
"D38","D","D_SOD123_handD",83.343750,-14.287500,0.000000,bottom
"D39","D","D_SOD123_handD",102.393750,-14.287500,0.000000,bottom
"D40","D","D_SOD123_handD",111.323344,-14.287488,0.000000,bottom
"D41","D","D_SOD123_handD",119.657712,-14.287500,0.000000,bottom
"D42","D","D_SOD123_handD",-90.487500,-33.337500,0.000000,bottom
"D43","D","D_SOD123_handD",-59.531250,-33.337500,0.000000,bottom
"D44","D","D_SOD123_handD",-40.481250,-33.337500,0.000000,bottom
"D45","D","D_SOD123_handD",-21.431250,-33.337500,0.000000,bottom
"D46","D","D_SOD123_handD",-2.197500,-33.337500,0.000000,bottom
"D47","D","D_SOD123_handD",16.668750,-33.337500,0.000000,bottom
"D48","D","D_SOD123_handD",35.718750,-33.337500,0.000000,bottom
"D49","D","D_SOD123_handD",54.768750,-33.337500,0.000000,bottom
"D50","D","D_SOD123_handD",73.818750,-33.337500,0.000000,bottom
"D51","D","D_SOD123_handD",92.868750,-33.337500,0.000000,bottom
"D52","D","D_SOD123_handD",111.918750,-33.337500,0.000000,bottom
"D53","D","D_SOD123_handD",142.875000,-33.337500,0.000000,bottom
"D54","D","D_SOD123_handD",173.831250,-33.337500,0.000000,bottom
"D55","D","D_SOD123_handD",-97.631250,-52.387500,0.000000,bottom
"D56","D","D_SOD123_handD",-50.006250,-52.387500,0.000000,bottom
"D57","D","D_SOD123_handD",30.956250,-52.387500,0.000000,bottom
"D58","D","D_SOD123_handD",111.918750,-52.387500,0.000000,bottom
"D59","D","D_SOD123_handD",154.781250,-52.387500,0.000000,bottom
"D60","D","D_SOD123_handD",173.831250,-52.387500,0.000000,bottom
"D61","D","D_SOD123_handD",192.881250,-52.387500,0.000000,bottom
"D62","D","D_SOD123_handD",192.877200,8.929695,0.000000,bottom
"D63","D","D_SOD123_handD",140.878008,4.762496,0.000000,bottom
"D66","D","D_SOD123_handD",-78.581184,-33.337472,0.000000,bottom
"D67","D","D_SOD123_handD",-73.818688,-52.387456,0.000000,bottom
"F1","500mA","C_1206_HandSoldering",170.600000,26.800000,90.000000,bottom
"R1","10k","R_0805_HandSoldering",194.663100,2.381200,270.000000,bottom
"R2","10k","R_0805_HandSoldering",183.800000,-18.850000,90.000000,bottom
"R3","22","R_0805_HandSoldering",176.600000,22.150000,90.000000,bottom
"R4","22","R_0805_HandSoldering",179.200000,22.185500,90.000000,bottom
"R5","5.1k","R_0805_HandSoldering",189.400000,28.200000,0.000000,bottom
"R6","5.1k","R_0805_HandSoldering",173.800000,22.150000,270.000000,bottom
"SW1","SW_PUSH","SW_SPST_TL3342",200.152000,6.477000,270.000000,bottom
"U1","ATMEGA32U4","TQFP-44_10x10mm_Pitch0.8mm",187.441840,-7.919720,270.000000,bottom
